,mean_expression,median_expression,variance_across_samples
MYC,8.22851087242353,8.22108335959524,0.6598058338105334
FOS,7.957518707634662,7.856430808944075,1.6299289628490023
JUN,7.618991234084038,7.732972459391336,0.6091849946849628
MCL1,7.43139580457171,7.501133153895635,0.4903214675001195
BCL2L1,7.3983170170998545,7.387813067811251,0.5279150250499474
MAPK3,7.251998251662561,7.294059283432618,0.6060889789995649
BAX,7.229717274268434,7.268432184888306,0.4925062640484351
AKT1,7.080532278877376,7.166448577054784,0.234295296739813
GRB2,6.810952646378517,6.816641530757684,0.19812703229930578
ERBB2,6.782760581082987,6.9038182425715995,0.6756906092604805
TP53,6.080440272755792,6.598346874129149,1.7957117151680986
BAD,6.038457882317177,6.1239115489796685,0.30828815853588665
DIABLO,5.965331156889593,5.964622612583727,0.11133086440156904
MET,5.94289767815628,5.879210723879623,0.7171857243652832
BID,5.82974249379555,5.781804969972367,0.2514650672108892
MAPK1,5.705211475468518,5.7660010908384915,0.3107075774473162
BAK1,5.66018167433104,5.656552511156811,0.33846821412405503
TNFRSF10B,5.5769768525423125,5.615052023984704,0.5486575085830023
CASP3,5.522967446357455,5.678817518544763,0.37109262144717453
NRAS,5.477788433001551,5.670852333194574,0.745258260623339
BBC3,4.617882694695159,4.658929296436398,0.4102550986335104
KRAS,4.6022304960775635,4.672501095982097,0.7634390261981474
CASP8,4.347572760703466,4.397027236229578,0.34375822595283034
CFLAR,3.926365278017703,3.9040532805581245,0.4063539205226542
SOS1,3.7919366913024364,3.8220831026332704,0.5349003888229658
CASP9,3.7821389387314177,3.8232115508933955,0.2585257524067182
IGF1R,3.7692237344131656,3.701272505496778,0.551880861314056
FAS,3.7368174169471637,3.694269950705336,1.0600559630976873
EGFR,3.470916481152538,3.4558310721057772,0.6278997233145128
APAF1,3.3587207627208238,3.413749177005463,0.5072635228493453
FGFR1,3.284185759996466,3.1927550665948834,1.169686567058895
BCL2L11,3.2737897811226957,3.326452130720803,0.400094886961023
PIK3CA,3.2293367733470513,3.308621936800869,0.6272462310936395
FGFR2,2.575545364363952,2.484944275024626,1.2739973235891935
BRAF,2.2167506071819294,2.186404043984846,0.42641897853250926
BCL2,1.9382578874217316,1.990227130128185,0.7950998169060651
FASLG,0.970789932761148,0.7759637062657376,0.5462424735161399
HGF,0.968299741507205,0.8550081122156592,0.3248483188368803
EGF,0.8812019777340087,0.338482845442986,1.1495229703320535
TNF,0.2954152577544191,0.24710197034115644,0.04706416387415001
