feature,coefficient,abs_coefficient
EGFR,0.33686428615210956,0.33686428615210956
FGFR1,0.2873710797024086,0.2873710797024086
CASP9,-0.27893956459675584,0.27893956459675584
BCL2L11,0.2729894817398657,0.2729894817398657
MYC,-0.2619208624903701,0.2619208624903701
ERBB2,-0.2574978471718091,0.2574978471718091
JUN,-0.22386000548594504,0.22386000548594504
BAX,-0.20521890562187137,0.20521890562187137
FAS,-0.1970331598616622,0.1970331598616622
MET,-0.19453857556465595,0.19453857556465595
HGF,-0.17758980696021565,0.17758980696021565
PIK3CA,0.17755493389674235,0.17755493389674235
BID,-0.17514187540665496,0.17514187540665496
CFLAR,0.14711720737607226,0.14711720737607226
TNF,-0.13841291993555993,0.13841291993555993
FGFR2,0.12748818459253963,0.12748818459253963
age_at_diagnosis,-0.1265619940932201,0.1265619940932201
MCL1,0.119385286040303,0.119385286040303
BCL2,-0.11661139520837568,0.11661139520837568
MAPK3,0.1128186201250586,0.1128186201250586
APAF1,-0.11254796056464739,0.11254796056464739
FASLG,-0.10675949056150089,0.10675949056150089
BAK1,-0.08734094796418876,0.08734094796418876
BRAF,0.08485523614075842,0.08485523614075842
DIABLO,-0.08403972614839039,0.08403972614839039
apoptosis_resistance_score,-0.08113732698573214,0.08113732698573214
CASP8,-0.07686099280742241,0.07686099280742241
KRAS,-0.0768384474744372,0.0768384474744372
NRAS,0.06315051929363402,0.06315051929363402
GRB2,-0.06091220889812709,0.06091220889812709
BBC3,0.05764194739964982,0.05764194739964982
TP53,0.05619995949119956,0.05619995949119956
BAD,0.04816366221490802,0.04816366221490802
IGF1R,-0.046218161430076746,0.046218161430076746
BCL2L1,0.04507831901844257,0.04507831901844257
EGF,0.04073551126761688,0.04073551126761688
TNFRSF10B,0.03972857885507246,0.03972857885507246
AKT1,0.03618363215261254,0.03618363215261254
FOS,-0.030642123579712736,0.030642123579712736
SOS1,-0.024348115131828194,0.024348115131828194
proliferative_score,0.005338777133334959,0.005338777133334959
MAPK1,0.0019475328836152342,0.0019475328836152342
CASP3,0.00020649669488234464,0.00020649669488234464
