,n_non_missing,n_missing,percent_non_missing,percent_missing
cancer_type,1802,0,100.0,0.0
bcr_patient_barcode,1730,72,96.00443951165371,3.9955604883462823
gender,1730,72,96.00443951165371,3.9955604883462823
race,1730,72,96.00443951165371,3.9955604883462823
ethnicity,1730,72,96.00443951165371,3.9955604883462823
age_at_diagnosis,1730,72,96.00443951165371,3.9955604883462823
history_other_malignancy,1730,72,96.00443951165371,3.9955604883462823
OS,1727,75,95.83795782463929,4.16204217536071
OS.time,1719,83,95.39400665926749,4.605993340732519
tumor_status,1650,152,91.56492785793563,8.435072142064373
PFI,1647,155,91.3984461709212,8.601553829078801
PFI.time,1642,160,91.12097669256381,8.879023307436182
DSS.time,1640,162,91.00998890122086,8.990011098779133
DSS,1625,177,90.17758046614873,9.822419533851276
histologic_diagnosis,1272,530,70.58823529411765,29.411764705882355
ajcc_pathologic_tumor_stage,1144,658,63.4850166481687,36.5149833518313
ajcc_nodes_pathologic_pn,1142,660,63.374028856825745,36.625971143174255
ajcc_tumor_pathologic_pt,1142,660,63.374028856825745,36.625971143174255
ajcc_metastasis_pathologic_pm,1142,660,63.374028856825745,36.625971143174255
DFI,813,989,45.1165371809101,54.8834628190899
DFI.time,812,990,45.061043285238625,54.938956714761375
history_hormonal_contraceptives_use,211,1591,11.709211986681465,88.29078801331853
tobacco_smoking_age_started,153,1649,8.49056603773585,91.50943396226415
history_reflux_disease_indicator,80,1722,4.439511653718091,95.56048834628191
history_thyroid_disease_other,79,1723,4.384017758046615,95.61598224195339
history_thyroid_disease,79,1723,4.384017758046615,95.61598224195339
pregnancies_count_miscarriage,77,1725,4.273029966703663,95.72697003329634
jewish_religion_heritage_indicator,77,1725,4.273029966703663,95.72697003329634
family_history_cancer_type,76,1726,4.217536071032186,95.78246392896781
