,mean_expression
ACTB,12.594034199000639
FTL,12.525603021921858
TPT1,12.476974708452119
B2M,12.347838865254413
GAPDH,12.160252279116206
TMSB10,11.998152570606056
RPS11,11.933026438068982
ACTG1,11.866736401493064
RPS6,11.836285085065379
RPL8,11.655260760502157
RPLP1,11.627997876390067
RPL30,11.564943724129451
RPL37A,11.405454164849667
RPL18,11.291977215972656
RPL11,11.282330459655771
RPLP2,11.27417304690112
GNB2L1,11.264597140309935
RPS8,11.264117864039328
RPS4X,11.195749131482243
RPS16,11.060553484044625
